,t0,T1,K1,C1,T2,K2,C2,S0,Adj_S0
2047,2018-05-30,2018-06-15,1625.0,27.275,2018-09-21,1640.0,88.01291165175145,81.24449920654297,1624.8899841308594
2048,2018-05-30,2018-06-15,1630.0,24.6,2018-09-21,1650.0,87.1,81.24449920654297,1624.8899841308594
2049,2018-05-30,2018-06-15,1635.0,21.577834431901984,2018-09-21,1670.0,77.65,81.24449920654297,1624.8899841308594
2050,2018-05-30,2018-06-15,1640.0,19.725,2018-09-21,1700.0,64.27051757277482,81.24449920654297,1624.8899841308594
2051,2018-05-30,2018-06-15,1645.0,17.55,2018-09-21,1730.0,52.382617757747965,81.24449920654297,1624.8899841308594
2052,2018-05-30,2018-06-15,1650.0,15.55,2018-09-21,1740.0,51.426775367862,81.24449920654297,1624.8899841308594
2053,2018-05-30,2018-06-15,1660.0,12.075,2018-09-21,1760.0,43.775000000000006,81.24449920654297,1624.8899841308594
2054,2018-05-30,2018-06-15,1670.0,9.15,2018-09-21,1780.0,38.125,81.24449920654297,1624.8899841308594
2055,2018-05-30,2018-06-15,1680.0,6.875,2018-09-21,1800.0,33.099999999999994,81.24449920654297,1624.8899841308594
2056,2018-05-30,2018-06-15,1690.0,5.075,2018-09-21,1960.0,9.625,81.24449920654297,1624.8899841308594
2057,2018-05-30,2018-06-15,1700.0,3.7000000000000006,2018-09-21,1980.0,8.2,81.24449920654297,1624.8899841308594
2058,2018-05-30,2018-06-15,1710.0,2.665,2018-09-21,2000.0000000000002,6.974999999999999,81.24449920654297,1624.8899841308594
2059,2018-05-30,2018-06-15,1750.0,0.755,2018-09-21,2200.0,1.6300000000000001,81.24449920654297,1624.8899841308594
2060,2018-05-31,2018-06-15,1450.0,182.25,2018-09-21,1400.0,261.1,81.48100280761719,1629.6200561523438
2061,2018-05-31,2018-06-15,1550.0,85.475,2018-09-21,1420.0,243.375,81.48100280761719,1629.6200561523438
2062,2018-05-31,2018-06-15,1580.0,59.14999999999999,2018-09-21,1430.0,235.7,81.48100280761719,1629.6200561523438
2063,2018-05-31,2018-06-15,1597.5,44.42509531955121,2018-09-21,1440.0,227.35974137495336,81.48100280761719,1629.6200561523438
2064,2018-05-31,2018-06-15,1600.0,43.45,2018-09-21,1480.0,195.8,81.48100280761719,1629.6200561523438
2065,2018-05-31,2018-06-15,1610.0,36.349999999999994,2018-09-21,1490.0,188.52542505009123,81.48100280761719,1629.6200561523438
2066,2018-05-31,2018-06-15,1620.0,29.874999999999996,2018-09-21,1500.0,180.85,81.48100280761719,1629.6200561523438
2067,2018-05-31,2018-06-15,1625.0,26.875,2018-09-21,1560.0,132.57382346660614,81.48100280761719,1629.6200561523438
2068,2018-05-31,2018-06-15,1630.0,24.075,2018-09-21,1600.0,114.88276171847605,81.48100280761719,1629.6200561523438
2069,2018-05-31,2018-06-15,1635.0,21.475,2018-09-21,1620.0,102.59207255654647,81.48100280761719,1629.6200561523438
2070,2018-05-31,2018-06-15,1640.0,19.025,2018-09-21,1630.0,99.53099075921747,81.48100280761719,1629.6200561523438
2071,2018-05-31,2018-06-15,1650.0,14.725,2018-09-21,1640.0000000000002,92.375,81.48100280761719,1629.6200561523438
2072,2018-05-31,2018-06-15,1655.0000000000002,12.800708765459504,2018-09-21,1649.9999999999998,85.41856507854939,81.48100280761719,1629.6200561523438
2073,2018-05-31,2018-06-15,1660.0,11.125,2018-09-21,1699.9999999999998,64.75,81.48100280761719,1629.6200561523438
2074,2018-05-31,2018-06-15,1670.0,8.275,2018-09-21,1789.9999999999998,35.175,81.48100280761719,1629.6200561523438
2075,2018-05-31,2018-06-15,1680.0000000000002,6.025,2018-09-21,1879.9999999999998,17.725,81.48100280761719,1629.6200561523438
2076,2018-05-31,2018-06-15,1690.0,4.325,2018-09-21,1900.0,14.68604084704079,81.48100280761719,1629.6200561523438
2077,2018-05-31,2018-06-15,1700.0,3.1,2018-09-21,1959.9999999999998,9.175,81.48100280761719,1629.6200561523438
2078,2018-05-31,2018-06-15,1710.0,2.17,2018-09-21,2000.0,6.575,81.48100280761719,1629.6200561523438
2079,2018-05-31,2018-06-15,1750.0,0.595,2018-09-21,2200.0,1.35,81.48100280761719,1629.6200561523438
2080,2018-06-01,2018-06-15,1540.0,104.12499999999999,2018-09-21,900.0,750.9965470934471,82.0770034790039,1641.5400695800781
2081,2018-06-01,2018-06-15,1560.0,85.07499999999999,2018-09-21,1500.0,186.97500000000002,82.0770034790039,1641.5400695800781
2082,2018-06-01,2018-06-15,1580.0,66.875,2018-09-21,1520.0,171.85,82.0770034790039,1641.5400695800781
2083,2018-06-01,2018-06-15,1600.0,49.9,2018-09-21,1530.0,164.33992889820453,82.0770034790039,1641.5400695800781
2084,2018-06-01,2018-06-15,1610.0,42.1,2018-09-21,1550.0,150.7,82.0770034790039,1641.5400695800781
2085,2018-06-01,2018-06-15,1620.0,34.900000000000006,2018-09-21,1560.0,144.02499999999998,82.0770034790039,1641.5400695800781
2086,2018-06-01,2018-06-15,1625.0,30.96554499109251,2018-09-21,1580.0,130.35972924665558,82.0770034790039,1641.5400695800781
2087,2018-06-01,2018-06-15,1630.0,28.325000000000003,2018-09-21,1600.0,118.8,82.0770034790039,1641.5400695800781
