,t0,T1,K1,C1,T2,K2,C2,S0
61,2018-01-05,2018-01-19,845,384.8103835144932,2018-04-20,845,389.0270495562564,1229.1400146484375
62,2018-01-05,2018-01-19,890,339.8460836316204,2018-04-20,890,344.3169384844353,1229.1400146484375
63,2018-01-05,2018-01-19,935,294.8817837487647,2018-04-20,935,299.7124499137027,1229.1400146484375
64,2018-01-05,2018-01-19,980,249.91748390792483,2018-04-20,980,255.44865811562755,1229.1400146484375
65,2018-01-05,2018-01-19,1025,204.9532050409072,2018-04-20,1025,212.05122660131693,1229.1400146484375
66,2018-01-05,2018-01-19,1070,159.99155285837537,2018-04-20,1070,170.43893799372051,1229.1400146484375
67,2018-01-05,2018-01-19,1115,115.1282847548646,2018-04-20,1115,131.87851685313748,1229.1400146484375
68,2018-01-05,2018-01-19,1160,71.54155704460224,2018-04-20,1160,97.73659518260864,1229.1400146484375
69,2018-01-05,2018-01-19,1205,34.41856877669373,2018-04-20,1205,69.10963227495128,1229.1400146484375
70,2018-01-05,2018-01-19,1250,11.332261394261003,2018-04-20,1250,46.51009190960041,1229.1400146484375
71,2018-01-05,2018-01-19,1295,2.335375857127054,2018-04-20,1295,29.758103746851383,1229.1400146484375
72,2018-01-05,2018-01-19,1340,0.2895795751489167,2018-04-20,1340,18.1028156609983,1229.1400146484375
73,2018-01-05,2018-01-19,1385,0.02155736549342473,2018-04-20,1385,10.481050728431295,1229.1400146484375
74,2018-01-05,2018-01-19,1430,0.0009816648447354037,2018-04-20,1430,5.785063013885209,1229.1400146484375
75,2018-01-05,2018-01-19,1475,2.8135658994248138e-05,2018-04-20,1475,3.0505532407258342,1229.1400146484375
76,2018-01-05,2018-01-19,1520,5.241486688861032e-07,2018-04-20,1520,1.5404870699833053,1229.1400146484375
77,2018-01-05,2018-01-19,1565,6.557662551979681e-09,2018-04-20,1565,0.7468767004724769,1229.1400146484375
78,2018-01-05,2018-01-19,1610,5.686898697679205e-11,2018-04-20,1610,0.34855571055878776,1229.1400146484375
79,2018-01-05,2018-01-19,1655,3.52207351794815e-13,2018-04-20,1655,0.15697773420207722,1229.1400146484375
80,2018-01-08,2018-01-19,800,447.4411891379873,2018-04-20,800,451.4286576635715,1246.8699645996094
81,2018-01-08,2018-01-19,845,402.47332051827107,2018-04-20,845,406.68768589135107,1246.8699645996094
82,2018-01-08,2018-01-19,890,357.50545189855484,2018-04-20,890,361.9613898490064,1246.8699645996094
83,2018-01-08,2018-01-19,935,312.5375832788386,2018-04-20,935,317.3023381479025,1246.8699645996094
84,2018-01-08,2018-01-19,980,267.5697146596376,2018-04-20,980,272.87707891229974,1246.8699645996094
85,2018-01-08,2018-01-19,1025,222.60184679312246,2018-04-20,1025,229.0890764952007,1246.8699645996094
86,2018-01-08,2018-01-19,1070,177.63420933270592,2018-04-20,1070,186.70150224822908,1246.8699645996094
87,2018-01-08,2018-01-19,1115,132.68460817388296,2018-04-20,1115,146.85573243974707,1246.8699645996094
88,2018-01-08,2018-01-19,1160,88.16318355886507,2018-04-20,1160,110.90068917451472,1246.8699645996094
89,2018-01-08,2018-01-19,1205,47.19156938049274,2018-04-20,1205,80.06037333277237,1246.8699645996094
90,2018-01-08,2018-01-19,1250,17.719218474270544,2018-04-20,1250,55.087086472430016,1246.8699645996094
91,2018-01-08,2018-01-19,1295,4.129514448038857,2018-04-20,1295,36.06866298819567,1246.8699645996094
92,2018-01-08,2018-01-19,1340,0.558414282657264,2018-04-20,1340,22.46417079048833,1246.8699645996094
93,2018-01-08,2018-01-19,1385,0.04306493792614084,2018-04-20,1385,13.31673611818854,1246.8699645996094
94,2018-01-08,2018-01-19,1430,0.001919119456678349,2018-04-20,1430,7.523961953228049,1246.8699645996094
95,2018-01-08,2018-01-19,1475,5.082613760658767e-05,2018-04-20,1475,4.059381185384135,1246.8699645996094
96,2018-01-08,2018-01-19,1520,8.278078663252725e-07,2018-04-20,1520,2.096077621649891,1246.8699645996094
97,2018-01-08,2018-01-19,1565,8.593196464438032e-09,2018-04-20,1565,1.0383460172918202,1246.8699645996094
98,2018-01-08,2018-01-19,1610,5.8883045456997e-11,2018-04-20,1610,0.4947124805650804,1246.8699645996094
99,2018-01-08,2018-01-19,1655,2.753664390365001e-13,2018-04-20,1655,0.22726402377145288,1246.8699645996094
100,2018-01-09,2018-01-19,800,453.2077417230369,2018-04-20,800,457.19543934643457,1252.699966430664
101,2018-01-09,2018-01-19,845,408.2363040832329,2018-04-20,845,412.45026063935575,1252.699966430664
102,2018-01-09,2018-01-19,890,363.26486644342884,2018-04-20,890,367.71667456759366,1252.699966430664
103,2018-01-09,2018-01-19,935,318.2934288036247,2018-04-20,935,323.0384506853664,1252.699966430664
104,2018-01-09,2018-01-19,980,273.32199116383424,2018-04-20,980,278.5599344899181,1252.699966430664
105,2018-01-09,2018-01-19,1025,228.350553579049,2018-04-20,1025,234.64392403072458,1252.699966430664
106,2018-01-09,2018-01-19,1070,183.3791539136052,2018-04-20,1070,192.00066249346807,1252.699966430664
107,2018-01-09,2018-01-19,1115,138.41333646110965,2018-04-20,1115,151.7280684802062,1252.699966430664
108,2018-01-09,2018-01-19,1160,93.6612996743837,2018-04-20,1160,115.168427820468,1252.699966430664
109,2018-01-09,2018-01-19,1205,51.425034474449404,2018-04-20,1205,83.5896600319138,1252.699966430664
110,2018-01-09,2018-01-19,1250,19.58416635802839,2018-04-20,1250,57.827045183013254,1252.699966430664
